ID,Name
4,Afghanistan
8,Albania
12,Algeria
16,"Samoa, American"
24,Angola
28,Antigua and Barbuda
32,Argentina
36,Australia
40,Austria
44,"Bahamas, The"
48,Bahrain
50,Bangladesh
52,Barbados
56,Belgium
64,Bhutan
68,Bolivia
72,Botswana
76,Brazil
84,Belize
90,Solomon Isl.
96,Brunei
100,Bulgaria
104,Myanmar
108,Burundi
116,Cambodia
120,Cameroon
124,Canada
132,Cape Verde
136,Cayman Islands
140,Central African Republic
144,Sri Lanka
148,Chad
152,Chile
156,China
158,Taiwan
162,Christmas Isl. (Kiritimati)
170,Colombia
174,Comoros
175,Mayotte
178,"Congo, Rep."
180,Zaire
184,Cook Isl.
188,Costa Rica
192,Cuba
196,Cyprus
204,Benin
208,Denmark
212,Dominica
214,Dominican Republic
218,Ecuador
222,El Salvador
226,Equatorial Guinea
231,Ethiopea
234,Faroer Isl.
238,Falkland Isl
239,Falkland Islands (South Georgia and the South Sandwich Islands)
242,Fiji
246,Finland
250,France
254,French Guyana
258,French Polynesia
260,French Southern and Antarctic Islands
262,Djibouti
266,Gabon
270,The Gambia
276,Germany
288,Ghana
296,Kiribati
300,Greece
304,Greenland
308,Grenada
312,Guadeloupe
316,Guam
320,Guatemala
324,Guinea
328,Guyana
332,Haiti
334,Heard and McDonald Isl.
340,Honduras
348,Hungary
352,Iceland
356,India
360,Indonesia
364,Iran
368,Iraq
372,Ireland
376,Israel
380,Italy
384,Ivory Coast
388,Jamaica
392,Japan
400,Jordan
404,Kenya
408,Korea Dem.Rep.
410,Korea Rep.
414,Kuwait
418,Laos
422,Lebanon
426,Lesotho
430,Liberia
434,Libya
438,Leichtenstein
442,Luxembourg
450,Madagascar
454,Malawi
458,Malaysia
466,Mali
470,Malta
474,Martinique
478,Mauritania
480,Mauritius
484,Mexico
496,Mongolia
500,Montserrat
504,Morocco
508,Mozambique
512,Oman
516,Namibia
524,Nepal
528,Netherlands
530,Netherlands Antilles
533,Aruba
540,New Caledonia
548,Vanuatu
554,New Zealand
558,Nicaragua
562,Niger
566,Nigeria
570,Niue
574,Norfolk Island
578,Norway
580,Northern Mariana Isl.
583,Micronesia
585,Palau
586,Pakistan
591,Panama
598,Papua New Guinea
600,Paraguay
604,Peru
608,Philippines
616,Poland
620,Portugal
624,Guinea-Bissau
630,Puerto Rico
634,Qatar
638,Reunion
642,Romania
646,Rwanda
654,Saint Helena
659,St. Kitts & Nevis
660,Anguilla
662,St. Lucia
666,Saint Pierre and Miquelon
670,St. Vincent & Grenadines
674,San Marino
678,Sao Tome and Principe
682,Saudi Arabia
686,Senegal
690,Seychelles
694,Sierra Leone
702,Singapore
704,Vietnam
706,Somalia
710,South Africa
716,Zimbabwe
724,Spain
732,Western Sahara
736,Sudan
740,Surinam
744,Svalbard & Jan Mayen Isl
748,Swaziland
752,Sweden
756,Switzerland
760,Syria
764,Thailand
768,Togo
776,Tonga
780,Trinidad and Tobago
784,UAE
788,Tunesia
792,Turkey
796,Turks and Caicos Isl.
800,Uganda
818,Egypt
826,United Kingdom
834,Tanzania
840,USA
850,Virgin Isl. (US.)
854,Burkina Faso
858,Uruguay
862,Venezuela
876,Wallis and Futuna
882,"Samoa, Western"
887,Yemen
894,Zambia
900,Alaska
901,USSR
902,Yugoslavia
903,Czechoslovakia
